platform,track_name,artist_name,album_name,reason_start
android,The Ballad Of John And Yoko - Remastered 2009,The Beatles,Past Masters,fwdbtn
android,Think For Yourself - Remastered 2009,The Beatles,Rubber Soul,fwdbtn
android,She Sells Sanctuary,The Cult,Love,backbtn
android,Lucille,B.B. King,Lucille,appload
mac,My Ego Dies At The End,Jensen McRae,My Ego Dies At The End,trackdone
android,Hombre de Ninguna Parte,Xoel López,Atlántico,trackdone
android,El Tóxico,Grupo Firme,El Tóxico,fwdbtn
android,I'm a Believer - 2006 Remaster,The Monkees,More of The Monkees,fwdbtn
android,Carnaval,Maluma,PB.DB. The Mixtape,fwdbtn
android,Here With Me,The Killers,Battle Born,fwdbtn
android,Just,Radiohead,The Bends,trackdone
android,Who Are You,The Who,Who Are You,fwdbtn
cast to device,"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",fwdbtn
mac,Crucify Your Mind,Rodríguez,Cold Fact,remote
android,Hoy Ten Miedo De Mi,Fernando Delgadillo,Con Cierto Aire a Ti,clickrow
android,Rain - Remastered 2009,The Beatles,Past Masters,trackdone
android,"Long, Long, Long - Remastered 2009",The Beatles,The Beatles,fwdbtn
android,The Siege of Gondor,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings,playbtn
android,Contigo,Joaquín Sabina,"Yo, Mi, Me, Contigo",trackdone
android,Copa Tras Copa - Remastered,Pedro Infante,Selección Especial,trackdone
android,Run Me Down,The Black Keys,The Big Come Up,fwdbtn
cast to device,Before You Accuse Me,Creedence Clearwater Revival,Cosmo's Factory,trackdone
android,El Problema,Ricardo Arjona,Santo Pecado,trackdone
android,Milkcow Blues Boogie - 2004 DSD remaster,Elvis Presley,Elvis At Sun,trackdone
android,Empty Spaces,Pink Floyd,The Wall,fwdbtn
android,La Grange - 2005 Remaster,ZZ Top,Tres Hombres,trackdone
android,Junk - Remastered 2011,Paul McCartney,McCartney,trackdone
android,Hold On,Lou Reed,New York,backbtn
android,Paranoid,Black Sabbath,Paranoid,trackdone
android,Tumbling Dice,The Rolling Stones,Exile On Main Street,backbtn
android,All I've Got To Do - Remastered 2009,The Beatles,With The Beatles,fwdbtn
android,Over My Head (Cable Car),The Fray,How To Save A Life,fwdbtn
android,No Quarter - Remaster,Led Zeppelin,Houses of the Holy,trackdone
android,It Comes Back To You,Imagine Dragons,Smoke + Mirrors,fwdbtn
android,Walk This Way,Aerosmith,Toys In The Attic,fwdbtn
android,Anyone Can Play Guitar,Radiohead,Pablo Honey,trackdone
android,The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,clickrow
android,I Am The Walrus - Remastered 2009,The Beatles,Magical Mystery Tour,appload
android,Man On Fire,Edward Sharpe & The Magnetic Zeros,Here,fwdbtn
android,History of Lovers,Calexico,In The Reins,clickrow
android,Sinister Kid,The Black Keys,Brothers,fwdbtn
android,Smile Like You Mean It,The Killers,Hot Fuss,fwdbtn
android,Lodo,Xoel López,Sueños y Pan,trackdone
android,How To Disappear Completely,Radiohead,Kid A,trackdone
android,Cuando El Amor Se Escapa,Morat,Balas Perdidas,trackdone
iOS,What'd I Say - Stereo,John Mayall & The Bluesbreakers,Bluesbreakers,trackdone
android,"The Road Goes Ever On..., Pt. 2 / ""In Dreams"" (feat. Edward Ross)",Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,trackdone
android,Cause We've Ended as Lovers,Jeff Beck,Blow By Blow,clickrow
android,Grace Kelly,MIKA,Life In Cartoon Motion,clickrow
android,Cinema Paradiso,Ennio Morricone,Cinema Paradiso,clickrow
android,Borgov II,Carlos Rafael Rivera,The Queen's Gambit (Music from the Netflix Limited Series),trackdone
android,Man We Was Lonely - Remastered 2011,Paul McCartney,McCartney,trackdone
android,Mila Song,Lacashora,Dow Cabin,trackdone
android,Claudia's Theme - Version Eight,Lennie Niehaus,Unforgiven - Original Motion Picture Soundtrack,fwdbtn
android,Crown of Love,Arcade Fire,Funeral,fwdbtn
android,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),trackdone
android,Goodbye - Home Demo,The Beatles,Abbey Road,clickrow
iOS,Gosh,Jamie xx,In Colour,
android,"Barney Bigard Introduces Arvell Shaw - Live At Symphony Hall, Boston, MA/1947",Louis Armstrong,Satchmo At Symphony Hall 65th Anniversary: The Complete Performances,trackdone
android,American Idiot,Green Day,American Idiot,fwdbtn
android,Tipsy - Club Mix,J-Kwon,Hood Hop,trackdone
android,Universal Gleam,Liam Gallagher,As You Were,trackdone
android,Wait In Line,James Bay,Chaos And The Calm,fwdbtn
android,"Everyday I Have The Blues - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,fwdbtn
android,The Inner Light - Remastered 2009,The Beatles,Past Masters,trackdone
android,Month of May,Arcade Fire,The Suburbs (Deluxe),trackdone
android,The King of the Golden Hall,Howard Shore,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),trackdone
android,La Botella,Mach & Daddy,Desde Abajo,clickrow
android,Oh! Darling - Remastered 2009,The Beatles,Abbey Road,fwdbtn
android,Harry in Winter,Patrick Doyle,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),trackdone
android,A Blue Bayou,Mireille Mathieu,Une vie d'amour,trackdone
android,Paloma Querida,José Alfredo Jimenez,Le canta a México,appload
android,Married with Children - 2014 Remaster,Oasis,Definitely Maybe,clickrow
android,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,fwdbtn
android,"Roméo et Juliette, CG 9, Act I: Ah, je veux vivre",Charles Gounod,Gounod,trackdone
android,Crucify Your Mind,Rodríguez,Cold Fact,clickrow
android,"Good Golly, Miss Molly",Little Richard,The Essential Little Richard,trackdone
android,Why Am I the One,fun.,Some Nights,appload
android,Splish Splash,Bobby Darin,The Ultimate Bobby Darin,fwdbtn
android,Common People - Full Length Version,Pulp,Different Class,trackdone
android,Untitled (How Could This Happen to Me?),Simple Plan,Still Not Getting Any,fwdbtn
android,Here Today - Remixed 2015,Paul McCartney,Tug Of War,fwdbtn
android,The Chain - 2004 Remaster,Fleetwood Mac,Rumours,trackdone
android,Sad Song - Acoustic,Liam Gallagher,Acoustic Sessions,fwdbtn
android,Crucify Your Mind,Rodríguez,Cold Fact,clickrow
android,The Currents,Bastille,Wild World - Complete Edition,fwdbtn
android,Mustang,Skegss,Everyone Is Good At Something,trackdone
android,1901,Phoenix,Wolfgang Amadeus Phoenix,fwdbtn
android,Cómo Te Atreves,Morat,Sobre El Amor Y Sus Efectos Secundarios,trackdone
android,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",trackdone
android,Not A Second Time - Remastered 2009,The Beatles,With The Beatles,trackdone
android,Not in Nottingham,Theo Lawrence and The Hearts,Homemade Lemonade,clickrow
android,Buckbeak's Flight,John Williams,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,clickrow
android,El 7 Mares,José Alfredo Jimenez,Si Nos Dejan,fwdbtn
android,Don't Look Down,OneRepublic,Native,fwdbtn
android,(What A) Wonderful World,Sam Cooke,The Man Who Invented Soul,fwdbtn
android,Sweet Louise,Pete Molinari,A Virtual Landslide (Bonus Version),appload
android,Three Little Birds,Bob Marley & The Wailers,Exodus,fwdbtn
android,Bonfire Heart,James Blunt,Moon Landing,clickrow
android,Baby Driver,Simon & Garfunkel,Bridge Over Troubled Water,trackdone
android,If I Lose Myself,OneRepublic,Native,fwdbtn
android,"Wanted Man - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,At San Quentin,fwdbtn
android,"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan,Bringing It All Back Home,playbtn
android,Perfect,Ed Sheeran,÷,fwdbtn
iOS,La Mujer Que No Soñé,Ricardo Arjona,Solo,trackdone
android,Riptide,Vance Joy,Dream Your Life Away,fwdbtn
android,Halo,Liam Gallagher,Why Me? Why Not.,fwdbtn
android,What You Don't Want Me to Be,Lee Moses,Time and Place (Digitally Remastered),trackdone
android,Here With Me,The Killers,Battle Born,playbtn
android,Used To,Daughtry,Daughtry,fwdbtn
android,Golden Slumbers - Remastered 2009,The Beatles,Abbey Road,backbtn
iOS,Til Kingdom Come,Coldplay,X&Y,trackdone
android,Endless Cycle,Lou Reed,New York,trackdone
android,"Orange Blossom Special - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,At Folsom Prison,fwdbtn
android,Home - 2019 - Remaster,Edward Sharpe & The Magnetic Zeros,Up From Below (10th Anniversary Edition),trackdone
android,Flapper Girl,The Lumineers,The Lumineers,trackdone
android,Moonshadow - Remastered 2021,Yusuf / Cat Stevens,Teaser And The Firecat,trackdone
android,Three Is Company,Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,trackdone
android,Heavy Soul,The Black Keys,The Big Come Up,fwdbtn
android,"Here, There And Everywhere - Remastered 2009",The Beatles,Revolver,trackdone
android,Valentine Day - Remastered 2011,Paul McCartney,McCartney,fwdbtn
android,Tumbling Dice,The Rolling Stones,Exile On Main Street,fwdbtn
android,No Tengo Dinero,Juanes,Origen,trackdone
android,Mi Nuevo Vicio,Morat,Sobre El Amor Y Sus Efectos Secundarios,fwdbtn
android,The Man,The Killers,Wonderful Wonderful,clickrow
android,Eleanor Put Your Boots On,Franz Ferdinand,You Could Have It So Much Better,trackdone
android,Body,Rosenfeld,Body,trackdone
android,Done with the B-S,MonoNeon,Supermane,trackdone
android,I Am,AWOLNATION,Run,clickrow
