restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
g1006520-d4353705,O'Bistronome,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"171 avenue Carnot, 78700 Conflans Sainte Honorine France",49.006,2.093458,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#4 of 64 Restaurants in Conflans Sainte Honorine,#4 of 68 places to eat in Conflans Sainte Honorine,"Fine Dining, French, European, Healthy",€€€€,€30-€50,"Lunch, Dinner","French, European, Healthy",,,N,N,N,"{""Mon"": [], ""Tue"": [""12:00-13:15"", ""19:30-21:15""], ""Wed"": [""12:00-13:15"", ""19:30-21:15""], ""Thu"": [""12:00-13:15"", ""19:30-21:15""], ""Fri"": [""12:00-13:15"", ""19:00-21:30""], ""Sat"": [""12:00-13:15"", ""19:00-21:30""], ""Sun"": []}",5.0,16.5,10.0,4.5,721.0,English,1.0,0.0,0.0,1.0,0.0,0.0,4.5,4.5,4.5,4.0,,2017-11-29,2019-06-03
g1006520-d4561463,La Rose des Sables,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"33 boulevard Armand Leprince, 78700 Conflans Sainte Honorine France",48.99726,2.10087,Unclaimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#9 of 64 Restaurants in Conflans Sainte Honorine,#9 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Moroccan, Mediterranean, Middle Eastern",€€-€€€,,"Lunch, Dinner","Moroccan, Middle Eastern, Mediterranean",,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,4.5,117.0,English,2.0,1.0,1.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,2011-02-09,2012-09-07
g1006520-d4606123,La Place,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"4 Place Fouillere, 78700 Conflans Sainte Honorine France",48.991398,2.091111,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#16 of 64 Restaurants in Conflans Sainte Honorine,#16 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, Drinks",French,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""10:00-17:30""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,79.5,7.0,4.0,182.0,English,4.0,2.0,2.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,,2022-07-14
g1006520-d4685996,Villa Mia,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"Chenneviere, Conflans Sainte Honorine France",49.007305,2.115323,Claimed,,#25 of 64 Restaurants in Conflans Sainte Honorine,#25 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian",€€-€€€,,"Lunch, Dinner",Italian,,"Takeout, Reservations, Seating, Serves Alcohol, Table Service",N,N,N,,,,,3.5,85.0,All languages,85.0,21.0,36.0,6.0,9.0,13.0,3.5,3.5,4.0,3.0,,2018-01-16,
g1006520-d4724726,Milano Ristorante,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"11 rue d Herblay, 78700 Conflans Sainte Honorine France",49.005,2.119167,Claimed,"Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#8 of 64 Restaurants in Conflans Sainte Honorine,#8 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian",€€-€€€,,"Lunch, Dinner, After-hours",Italian,,"Takeout, Reservations, Seating, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""12:00-14:00""], ""Tue"": [""12:00-14:00"", ""19:00-22:00""], ""Wed"": [""12:00-14:00""], ""Thu"": [""12:00-14:00"", ""19:00-22:00""], ""Fri"": [""12:00-14:00"", ""19:00-22:00""], ""Sat"": [""12:00-14:00"", ""19:00-22:00""], ""Sun"": []}",6.0,24.0,10.0,4.5,113.0,All languages,113.0,68.0,36.0,7.0,1.0,1.0,4.0,4.5,4.5,4.5,,,2021-11-04
g1006520-d4737263,Pizza Valentino,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"48 B rue Maurice Berteaux, 78700 Conflans Sainte Honorine France",48.99276,2.09353,Unclaimed,,#29 of 64 Restaurants in Conflans Sainte Honorine,#29 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian, European, Vegetarian Friendly",€€-€€€,,"Dinner, Lunch","Italian, European","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""12:00-14:00"", ""19:00-23:00""], ""Tue"": [""12:00-14:00"", ""19:00-23:00""], ""Wed"": [""12:00-14:00"", ""19:00-23:00""], ""Thu"": [""12:00-14:00"", ""19:00-23:00""], ""Fri"": [""12:00-14:00"", ""19:00-23:00""], ""Sat"": [""12:00-14:00"", ""19:00-23:00""], ""Sun"": [""12:00-14:00"", ""19:00-23:00""]}",7.0,42.0,14.0,3.5,71.0,English,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.5,,,2017-11-30,2022-02-18
g1006520-d5037171,La taverne a moules,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"123 rue Desire Clement, 78700 Conflans Sainte Honorine France",49.004112,2.114447,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",#7 of 64 Restaurants in Conflans Sainte Honorine,#7 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French",€€-€€€,€13-€25,"Lunch, Dinner",French,,,N,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:30"", ""19:00-23:00""], ""Wed"": [""12:00-14:30"", ""19:00-23:00""], ""Thu"": [""12:00-14:30"", ""19:00-23:00""], ""Fri"": [""12:00-14:30"", ""19:00-23:30""], ""Sat"": [""12:00-14:30"", ""19:00-23:30""], ""Sun"": [""12:00-15:00""]}",6.0,36.5,11.0,4.5,139.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,,2017-09-30,2017-12-01
g1006520-d5494797,Restaurant Pizzeria Enzo,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"140 B avenue Carnot, 78700 Conflans Sainte Honorine France",49.00589,2.093622,Claimed,Certificate of Excellence 2018,#18 of 64 Restaurants in Conflans Sainte Honorine,#18 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner",Italian,Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:30"", ""19:15-22:30""], ""Wed"": [""12:00-14:30"", ""19:15-22:30""], ""Thu"": [""12:00-14:30"", ""19:15-22:30""], ""Fri"": [""12:00-14:30"", ""19:15-00:00""], ""Sat"": [""12:00-14:30"", ""19:15-00:00""], ""Sun"": []}",5.0,31.75,10.0,4.5,134.0,All languages,134.0,82.0,33.0,13.0,2.0,4.0,4.5,4.5,4.5,4.5,,2011-04-08,2012-09-01
g1006520-d5797486,Le spicy,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"132 rue Desire Clement, 78700 Conflans Sainte Honorine France",49.00498,2.11655,Unclaimed,,#42 of 64 Restaurants in Conflans Sainte Honorine,#43 of 68 places to eat in Conflans Sainte Honorine,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""11:00-23:30""], ""Tue"": [""11:00-23:30""], ""Wed"": [""11:00-23:30""], ""Thu"": [""11:00-23:30""], ""Fri"": [""11:00-23:30""], ""Sat"": [""11:00-23:30""], ""Sun"": [""11:00-23:30""]}",7.0,87.5,7.0,3.5,7.0,All languages,7.0,2.0,2.0,2.0,1.0,0.0,,,,,,,2018-02-05
g1006520-d5808758,Baibaoli grillade&sushibar,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"Rue de L'hautil, 78700 Conflans Sainte Honorine France",49.003983,2.077781,Claimed,,#63 of 64 Restaurants in Conflans Sainte Honorine,#64 of 68 places to eat in Conflans Sainte Honorine,"Cheap Eats, Chinese, Japanese, Sushi",€,,Dinner,"Japanese, Sushi, Asian, Chinese, Fusion",,"Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Reservations, Highchairs Available",N,N,N,,,,,2.5,111.0,English,2.0,0.0,0.0,1.0,1.0,0.0,2.5,2.5,3.0,2.5,,2021-02-15,2023-12-31
g1006520-d5872798,Mou Sushi,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"127 rue Desire Clement, 78700 Conflans Sainte Honorine France",49.00424,2.11471,Unclaimed,,#28 of 64 Restaurants in Conflans Sainte Honorine,#28 of 68 places to eat in Conflans Sainte Honorine,"Cheap Eats, Japanese, Sushi, Asian",€,,"Dinner, Lunch","Japanese, Asian, Sushi",,"Takeout, Seating, Reservations, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""11:30-14:30"", ""18:30-22:30""], ""Tue"": [""11:30-14:30"", ""18:30-22:30""], ""Wed"": [""11:30-14:30"", ""18:30-22:30""], ""Thu"": [""11:30-14:30"", ""18:30-22:30""], ""Fri"": [""11:30-14:30"", ""18:30-22:30""], ""Sat"": [""11:30-14:30"", ""18:30-22:30""], ""Sun"": [""11:30-14:30"", ""18:30-22:30""]}",7.0,49.0,14.0,4.0,34.0,All languages,34.0,14.0,9.0,5.0,4.0,2.0,4.0,4.0,4.5,,,2014-04-03,2014-08-12
g1006520-d5887368,Bijou Bar,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"19 rue Rene Albert, 78700 Conflans Sainte Honorine France",48.991436,2.092439,Claimed,Certificate of Excellence 2015,#22 of 64 Restaurants in Conflans Sainte Honorine,#22 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French, Bar, Pub",€€-€€€,€14-€35,"Dinner, After-hours, Drinks","French, Bar, Pub",,,N,N,N,"{""Mon"": [], ""Tue"": [""12:00-15:00"", ""17:30-00:00""], ""Wed"": [], ""Thu"": [""12:00-15:00"", ""17:30-00:00""], ""Fri"": [""12:00-15:00"", ""17:30-00:00""], ""Sat"": [""12:00-15:00"", ""17:30-00:00""], ""Sun"": []}",4.0,38.0,8.0,3.5,186.0,English,2.0,2.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,4.5,,2018-06-09,2022-06-29
g1006520-d5895362,Villa Mia,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"17 rue de l Ambassadeur, 78700 Conflans Sainte Honorine France",49.00731,2.11537,Unclaimed,,#27 of 64 Restaurants in Conflans Sainte Honorine,#27 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian",€€-€€€,,"Lunch, Dinner",Italian,,"Takeout, Reservations, Wheelchair Accessible, Table Service, Seating",N,N,N,,,,,4.0,34.0,English,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.5,3.5,,,2010-06-07,2015-04-17
g1006520-d5949464,Clémentine Restaurant - Cafe,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"17 Pl la Liberte Et du 8 Mai 1945, 78700 Conflans Sainte Honorine France",49.00543,2.11712,Unclaimed,,#56 of 64 Restaurants in Conflans Sainte Honorine,#57 of 68 places to eat in Conflans Sainte Honorine,"Cheap Eats, Fast food",€,,"Lunch, Dinner",Fast food,,"Takeout, Seating, Wheelchair Accessible",N,N,N,"{""Mon"": [""11:00-22:30""], ""Tue"": [""11:00-22:30""], ""Wed"": [""11:00-22:30""], ""Thu"": [""11:00-22:30""], ""Fri"": [""11:00-22:30""], ""Sat"": [""11:00-23:00""], ""Sun"": [""13:00-22:00""]}",7.0,78.5,7.0,3.0,16.0,All languages,16.0,0.0,8.0,2.0,0.0,6.0,3.0,3.0,3.5,,,2014-11-12,2015-12-11
g1006520-d5965274,Bombocas,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"104 rue de Cergy, 78700 Conflans Sainte Honorine France",49.00623,2.08495,Unclaimed,,#45 of 64 Restaurants in Conflans Sainte Honorine,#46 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, European, Portuguese",€€-€€€,,"Lunch, Dinner","European, Portuguese",,Reservations,N,N,N,"{""Mon"": [""11:00-15:00""], ""Tue"": [""11:00-15:00""], ""Wed"": [""11:00-15:00""], ""Thu"": [""11:00-15:00""], ""Fri"": [""11:00-15:00"", ""19:00-22:30""], ""Sat"": [""11:00-15:00"", ""19:00-00:45""], ""Sun"": []}",6.0,33.25,8.0,3.5,10.0,All languages,10.0,2.0,4.0,0.0,3.0,1.0,,,,,,,2021-02-05
g1006520-d5972685,La Grillade,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"12 quai de l Ile du Bac, 78700 Conflans Sainte Honorine France",48.9872,2.080085,Claimed,,#64 of 64 Restaurants in Conflans Sainte Honorine,#65 of 68 places to eat in Conflans Sainte Honorine,,,,"Breakfast, Lunch, Dinner, Brunch, After-hours",,,"Wheelchair Accessible, Reservations, Table Service",N,N,N,"{""Mon"": [""08:00-00:00""], ""Tue"": [""08:00-00:00""], ""Wed"": [""08:00-00:00""], ""Thu"": [""08:00-00:00""], ""Fri"": [""08:00-00:00""], ""Sat"": [""08:00-17:00""], ""Sun"": []}",6.0,89.0,6.0,3.0,11.0,English,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,2013-01-01,2014-03-26
g1006520-d5981579,Brasserie Le Bouquet,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"5 Place Fouillere, 78700 Conflans Sainte Honorine France",48.991474,2.090726,Claimed,,#31 of 64 Restaurants in Conflans Sainte Honorine,#31 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French, Bar, European",€€-€€€,,"Lunch, Dinner, Breakfast, After-hours, Drinks","French, Bar, European, Pub",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Full Bar, Wine and Beer",N,N,N,"{""Mon"": [""08:30-00:00""], ""Tue"": [""08:30-00:00""], ""Wed"": [""08:30-00:00""], ""Thu"": [""08:30-00:00""], ""Fri"": [""08:30-00:00""], ""Sat"": [""08:30-00:00""], ""Sun"": [""08:30-00:00""]}",7.0,108.5,7.0,3.5,100.0,English,2.0,0.0,1.0,0.0,1.0,0.0,3.5,3.5,3.5,,,2013-11-14,2013-12-03
g1006520-d5982436,Arizona Pizza,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"53 avenue Carnot, 78700 Conflans Sainte Honorine France",48.99777,2.09361,Unclaimed,,#49 of 64 Restaurants in Conflans Sainte Honorine,#50 of 68 places to eat in Conflans Sainte Honorine,"Cheap Eats, Italian, Pizza",€,,"Lunch, Dinner","Italian, Pizza",,,N,N,N,"{""Mon"": [""11:30-14:00"", ""18:00-23:00""], ""Tue"": [""11:30-14:00"", ""18:00-23:00""], ""Wed"": [""11:30-14:00"", ""18:00-23:00""], ""Thu"": [""11:30-14:00"", ""18:00-23:00""], ""Fri"": [""18:00-23:00""], ""Sat"": [""11:30-14:00"", ""18:00-23:00""], ""Sun"": [""18:00-23:00""]}",7.0,47.5,12.0,3.0,9.0,All languages,9.0,2.0,2.0,2.0,1.0,2.0,,,,,,2021-12-11,2022-11-20
g1006520-d7267908,le venitien,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"124 rue Desire Clement, 78700 Conflans Sainte Honorine France",49.00465,2.11577,Unclaimed,,#62 of 64 Restaurants in Conflans Sainte Honorine,#63 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Pizza",€€-€€€,,,Pizza,,"Takeout, Delivery, Wheelchair Accessible",N,N,N,,,,,2.5,20.0,All languages,20.0,5.0,2.0,2.0,4.0,7.0,,,,,,2010-06-27,2013-10-27
g1006520-d7279767,O'Barcaiolo,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"28 quai Eugene le Corre, 78700 Conflans Sainte Honorine France",48.9891,2.0797,Claimed,,#20 of 64 Restaurants in Conflans Sainte Honorine,#20 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian",€€-€€€,,"Dinner, Lunch",Italian,,"Takeout, Reservations, Seating, Serves Alcohol, Table Service",N,N,N,,,,,4.5,81.0,All languages,81.0,45.0,22.0,8.0,5.0,1.0,4.5,4.5,4.0,,,2013-04-10,2015-09-08
g1006520-d7356798,Bateau Chocolaté,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"Place Fouillère face au No 1 rue René Albert, 78700 Conflans Sainte Honorine France",48.99127,2.091486,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017",#12 of 64 Restaurants in Conflans Sainte Honorine,#12 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Caribbean",€€-€€€,€7-€45,"Breakfast, Lunch, Dinner, Brunch, Drinks",Caribbean,,,N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-21:00""]}",4.0,47.0,4.0,4.0,206.0,English,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.5,4.0,4.5,,,
g1006520-d7675062,Yamada 8,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"5 cours de Chimay, 78700 Conflans Sainte Honorine France",48.988274,2.072679,Claimed,,#58 of 64 Restaurants in Conflans Sainte Honorine,#59 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Japanese, Asian, Korean",€€-€€€,,"Dinner, Lunch","Japanese, Asian, Korean",,"Buffet, Parking Available, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Outdoor Seating, Seating, Validated Parking, Highchairs Available, Table Service",N,N,N,"{""Mon"": [], ""Tue"": [""11:30-14:30"", ""18:30-22:30""], ""Wed"": [""11:30-14:30"", ""18:30-22:30""], ""Thu"": [""11:30-14:30"", ""18:30-22:30""], ""Fri"": [""11:30-14:30"", ""18:30-22:30""], ""Sat"": [""11:30-14:30"", ""18:30-22:30""], ""Sun"": [""11:30-14:30"", ""18:30-22:30""]}",6.0,42.0,12.0,3.5,70.0,English,2.0,0.0,1.0,0.0,1.0,0.0,3.0,3.5,3.5,,,2010-10-26,2013-12-13
g1006520-d7735389,Cappadoce,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"2 rue Victor Hugo, 78700 Conflans Sainte Honorine France",48.99164,2.09118,Unclaimed,,#30 of 64 Restaurants in Conflans Sainte Honorine,#30 of 68 places to eat in Conflans Sainte Honorine,"Cheap Eats, Fast food, Turkish",€,,,"Turkish, Fast food",,,N,N,N,,,,,4.5,12.0,All languages,12.0,5.0,6.0,1.0,0.0,0.0,,,,,,2021-12-23,2022-12-02
g1006520-d8297737,McDonald's,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"5 rue du Relais de Halage, 78700 Conflans Sainte Honorine France",48.988503,2.073895,Claimed,,#60 of 64 Restaurants in Conflans Sainte Honorine,#61 of 68 places to eat in Conflans Sainte Honorine,Cheap Eats,€,,"Breakfast, Lunch, Dinner",,,"Takeout, Wheelchair Accessible",N,N,N,"{""Mon"": [""00:00-03:00"", ""08:00-00:00""], ""Tue"": [""00:00-03:00"", ""08:00-00:00""], ""Wed"": [""00:00-03:00"", ""08:00-00:00""], ""Thu"": [""00:00-03:00"", ""08:00-00:00""], ""Fri"": [""00:00-03:00"", ""08:00-00:00""], ""Sat"": [""00:00-03:00"", ""08:00-00:00""], ""Sun"": [""00:00-03:00"", ""08:00-00:00""]}",7.0,133.0,14.0,2.5,32.0,All languages,32.0,4.0,5.0,5.0,8.0,10.0,2.5,3.0,2.5,,,,2015-08-12
g1006520-d8460581,Restaurant le 2,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"2 Place Fouillere, 78700 Conflans Sainte Honorine France",48.9915,2.090925,Claimed,,#61 of 64 Restaurants in Conflans Sainte Honorine,#62 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-21:30""], ""Sat"": [""09:00-21:30""], ""Sun"": [""09:00-18:00""]}",6.0,61.0,6.0,3.0,71.0,All languages,71.0,20.0,9.0,4.0,10.0,28.0,3.5,3.0,3.0,,,2022-11-05,2023-12-31
g1006520-d8869852,My Piccola Italia,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"1 rue Rene Albert, 78700 Conflans Sainte Honorine France",48.991425,2.091351,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#5 of 64 Restaurants in Conflans Sainte Honorine,#5 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Italian, Mediterranean, European",€€-€€€,€9-€35,,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [], ""Tue"": [""11:30-14:30""], ""Wed"": [""11:30-14:30"", ""19:00-22:30""], ""Thu"": [""11:30-14:30"", ""19:00-22:30""], ""Fri"": [""11:30-14:30"", ""19:00-22:30""], ""Sat"": [""11:30-14:30"", ""19:00-22:30""], ""Sun"": [""11:30-14:30""]}",6.0,32.0,10.0,4.5,306.0,English,4.0,3.0,1.0,0.0,0.0,0.0,4.5,4.5,4.0,,,2014-02-09,
g1006520-d940846,Sakura,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"9 rue Victor Hugo, 78700 Conflans Sainte Honorine France",48.99168,2.090971,Unclaimed,,#37 of 64 Restaurants in Conflans Sainte Honorine,#37 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, Japanese",€€-€€€,€24-€31,,Japanese,,,N,N,N,,,,,3.5,10.0,All languages,10.0,2.0,5.0,1.0,2.0,0.0,,,,,,2016-01-30,
g1006520-d9715495,O'Bistro D'à Côté,"[""Europe"", ""France"", ""Ile-de-France"", ""Yvelines"", ""Conflans Sainte Honorine""]",France,Ile-de-France,Yvelines,Conflans Sainte Honorine,"160 avenue Carnot, 78700 Conflans Sainte Honorine France",49.00733,2.093523,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#2 of 64 Restaurants in Conflans Sainte Honorine,#2 of 68 places to eat in Conflans Sainte Honorine,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",N,N,N,"{""Mon"": [], ""Tue"": [""12:00-13:15"", ""19:30-21:15""], ""Wed"": [""12:00-13:15"", ""19:30-21:15""], ""Thu"": [""12:00-13:15"", ""19:30-21:15""], ""Fri"": [""12:00-13:15"", ""19:00-21:30""], ""Sat"": [""12:00-13:15"", ""19:00-21:30""], ""Sun"": []}",5.0,16.5,10.0,4.5,314.0,English,2.0,1.0,0.0,0.0,0.0,1.0,4.5,4.5,4.5,,,2017-10-18,2020-11-06
g1006521-d1007523,Palais de Souss,"[""Europe"", ""France"", ""Ile-de-France"", ""Val-d'Oise"", ""Franconville""]",France,Ile-de-France,Val-d'Oise,Franconville,"17 rue Galilee, 95130 Franconville France",48.997177,2.234363,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#1 of 37 Restaurants in Franconville,#1 of 43 places to eat in Franconville,"Mid-range, Moroccan, Mediterranean, Middle Eastern",€€-€€€,,"Lunch, Dinner","Moroccan, Mediterranean, Middle Eastern","Vegetarian Friendly, Halal",,Y,N,N,"{""Mon"": [""11:00-15:00"", ""17:00-21:00""], ""Tue"": [""11:00-15:00"", ""17:00-21:00""], ""Wed"": [""11:00-15:00"", ""17:00-21:00""], ""Thu"": [""11:00-15:00"", ""17:00-21:00""], ""Fri"": [""11:00-15:00"", ""17:00-21:00""], ""Sat"": [""11:00-15:00"", ""17:00-21:00""], ""Sun"": [""11:00-15:00"", ""17:00-21:00""]}",7.0,56.0,14.0,4.5,323.0,English,4.0,2.0,1.0,1.0,0.0,0.0,4.5,4.5,4.0,4.0,,2017-01-25,2018-11-05
