ra,decl,jdate,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,instance_id
42.952538,22.849129,2451517.7956,16.424,0.125,15.431,0.143,14.824,0.102,641
42.994107,22.864717,2451517.7956,16.151,0.085,15.296,0.108,14.745,0.092,642
43.386285,22.887609,2451517.815,16.072,0.098,15.37,0.109,14.995,0.11,643
43.421496,22.895483,2451517.815,15.972,0.096,15.283,0.108,14.491,0.082,646
43.66931,22.802139,2451517.8246,16.144,0.1,15.379,0.123,15.025,0.121,649
44.386014,22.838093,2451087.9238,15.885,0.082,15.017,0.083,14.594,0.109,651
44.527312,22.843061,2451087.9334,15.68,0.062,14.926,0.07,14.548,0.077,652
44.735318,22.849718,2451087.9421,15.859,0.07,15.167,0.076,14.875,0.117,655
45.034834,22.852337,2451856.8949,16.176,0.118,15.121,0.114,14.44,0.075,656
45.632124,22.866173,2451135.8615,16.023,0.114,14.493,\N,14.178,\N,658
46.034468,22.844864,2450745.8692,16.375,0.119,15.854,0.144,15.154,0.145,660
46.06571,22.805712,2450745.8768,15.99,0.102,15.18,0.093,14.789,0.099,661
46.094792,22.802803,2450745.8768,15.303,0.069,14.729,0.075,14.191,0.076,662
46.101866,22.832529,2450745.8768,15.935,0.083,15.05,0.086,14.587,0.087,663
46.140155,22.826101,2450745.8768,16.028,0.101,15.133,0.086,14.52,0.081,665
46.366307,22.893646,2450745.8865,15.906,0.079,14.999,0.072,14.668,0.095,666
46.669446,22.8986,2450745.8961,15.912,0.08,14.889,0.084,14.412,0.073,667
47.484861,22.836443,2451088.85,15.663,0.071,14.975,0.081,14.784,0.109,673
47.622288,22.899002,2451088.8645,14.771,0.074,14.002,0.091,13.942,0.111,674
49.111806,22.880463,2451856.9066,15.818,0.093,15.295,0.128,14.653,0.087,678
49.317691,22.852142,2450747.8697,16.024,0.079,15.571,0.116,14.859,0.098,680
49.57855,22.866756,2451872.7018,16.399,0.109,15.435,0.135,14.926,0.097,682
49.593995,22.842346,2451872.7018,16.11,0.107,15.491,0.146,14.965,0.108,683
49.607594,22.866995,2451872.7018,16.137,0.121,15.168,0.127,14.688,0.108,685
50.639729,22.892509,2450748.7643,15.45,0.071,14.742,0.087,14.384,0.09,689
50.724051,22.855476,2450748.7662,15.11,0.051,14.303,0.055,13.817,0.058,690
53.062548,22.886742,2450748.8712,15.973,0.09,15.537,0.124,14.989,0.126,696
53.267079,22.812675,2451135.8961,15.852,0.115,15.224,0.137,13.877,\N,697
54.576567,22.872416,2451088.9201,15.58,0.062,14.819,0.074,14.338,0.07,700
54.604288,22.866589,2451088.9201,14.439,0.049,13.679,0.062,13.342,0.061,702
54.780603,22.822647,2451088.9297,15.973,0.074,15.073,0.08,14.291,0.071,703
55.630652,22.856619,2451088.9677,15.995,0.076,14.977,0.092,14.491,0.09,706
56.206134,22.845781,2451127.8518,16.236,0.114,15.602,0.145,14.993,0.11,707
57.628401,22.847395,2450749.8407,15.777,0.077,14.84,0.094,14.368,0.095,710
58.002703,22.815113,2450749.8958,15.948,0.096,15.178,0.125,14.724,0.109,711
58.657472,22.86981,2450749.9171,14.344,0.046,13.573,0.047,13.246,0.048,715
59.500575,22.846111,2450750.8267,14.806,0.042,14.119,0.053,14.05,0.063,718
41.092696,22.968277,2450736.8226,16.398,0.15,15.721,0.189,14.394,\N,719
42.250313,22.975756,2450736.8774,15.896,0.079,15.469,0.132,14.389,0.089,722
42.368278,22.934765,2450736.8852,13.643,0.049,12.912,0.046,12.522,0.043,723
42.587131,22.922871,2450736.8871,16.204,0.086,15.143,0.099,14.605,0.099,724
43.506902,22.944323,2451517.8169,16.203,0.099,15.602,0.123,15.05,0.116,725
44.522373,22.969164,2451087.9257,16.854,0.178,15.899,0.174,14.632,\N,731
44.5658,22.94676,2451087.9335,14.728,0.058,13.926,0.069,13.678,0.075,732
45.318483,22.972475,2451087.9692,16.025,0.084,15.176,0.101,14.698,0.099,739
45.430308,22.984022,2451872.692,15.334,0.059,14.519,0.058,14.43,0.063,742
45.435453,22.974693,2451872.692,15.576,0.082,14.799,0.093,14.295,0.07,743
46.029234,22.972187,2450745.8691,15.251,0.06,14.563,0.068,14.022,0.068,746
46.067406,22.940771,2450745.8769,15.87,0.088,15.186,0.099,14.694,0.1,747
46.130418,22.918344,2450745.8768,15.926,0.096,15.361,0.118,14.989,0.133,748
46.518425,22.941067,2450745.8884,15.559,0.081,14.8,0.086,14.425,0.083,750
46.587571,22.928848,2450745.8961,15.851,0.078,15.105,0.086,14.68,0.091,752
47.226107,22.992485,2451088.8402,15.966,0.081,15.176,0.083,14.505,0.088,756
48.050488,22.997578,2451088.8761,16.253,0.089,15.878,0.16,14.834,0.105,758
48.068339,22.931932,2451088.8761,15.801,0.076,15.088,0.096,14.707,0.106,759
48.987708,22.900051,2451856.9047,15.978,0.11,15.277,0.131,14.588,0.097,762
49.344754,22.922047,2450747.8697,15.434,0.079,14.81,0.102,14.277,0.091,765
49.645556,22.999681,2451872.7096,15.934,0.097,15.213,0.122,14.827,0.098,766
50.591573,22.94239,2450748.7643,15.514,0.067,14.869,0.097,14.485,0.094,769
50.910949,22.933094,2450748.7739,15.985,0.083,15.087,0.087,14.605,0.09,771
50.954096,22.955614,2450748.7758,14.751,0.055,13.98,0.055,13.532,0.056,772
52.051121,22.987377,2450748.826,15.465,0.059,14.805,0.072,14.31,0.072,775
52.691174,22.967495,2450748.8597,16.496,0.118,15.39,0.109,14.918,0.113,776
52.754992,22.944462,2450748.8616,16.498,0.12,15.531,0.119,14.934,0.122,778
52.974067,22.961042,2450748.8712,16.031,0.085,15.201,0.088,14.306,0.075,779
53.01771,22.95286,2450748.8712,16.202,0.097,15.408,0.1,14.848,0.108,780
53.173862,22.939346,2450748.8899,16.28,\N,15.648,0.127,15.316,0.149,781
53.731658,22.969976,2450748.917,16.393,0.121,15.625,0.132,15.021,0.136,782
54.471556,22.990725,2451088.9123,15.697,0.087,14.736,0.106,14.215,0.093,787
54.813597,22.993492,2451088.9298,15.783,0.067,15.025,0.095,14.439,0.085,790
55.458837,22.91012,2451088.958,15.236,0.057,14.381,0.065,14.028,0.073,791
55.484811,22.955757,2451088.958,16.061,0.085,15.323,0.106,14.647,0.102,792
55.496242,22.998316,2451088.958,16.202,0.097,15.36,0.111,14.467,0.084,793
55.978317,22.946484,2451127.8421,14.964,0.052,14.127,0.065,13.843,0.057,794
58.204198,22.953114,2450749.9055,15.848,0.11,15.0,0.114,14.284,0.089,797
58.739614,22.907824,2450750.7978,16.071,0.129,15.383,0.154,15.261,0.187,799
